Gender,Age,Membership Tenure,CUSSAT1,CUSSAT2,CUSSAT3,CUSSAT4,COASAT1,COASAT2,COASAT3,COASAT4,COASAT5,CLIM1,CLIM2,CLIM3,CLIM4,CLIM5,CLIM6,COND1,COND2,COND3,COND4,COND5,COND6
2,24,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,20,24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,20,18,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,5,5,5,5,5,5
2,21,18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,30,20,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,25,38,5,4,4,4,5,4,4,5,5,5,5,5,4,5,4,5,4,5,5,4,4
1,31,13,5,5,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5
1,35,10,4,3,3,3,4,5,3,3,4,4,4,4,4,3,4,2,5,5,5,5,5
2,21,1,5,3,5,5,4,5,5,5,5,4,4,5,5,4,5,5,5,5,5,4,5
1,28,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,26,2,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
2,40,3,5,5,5,5,5,5,5,5,5,3,5,5,4,5,4,3,4,5,5,5,5
1,32,7,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5
2,39,26,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,5,5,4,4
2,29,9,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,4,5,5,5,5
2,22,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
2,37,53,5,4,4,4,4,4,4,4,5,5,3,5,4,5,4,4,3,4,5,5,5
2,23,7,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5
2,34,26,5,3,3,3,4,4,3,3,4,3,3,3,3,3,3,4,3,4,4,3,3
2,22,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,20,48,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,33,19,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5
2,43,17,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,5,5,5,4
2,52,30,5,5,4,4,5,5,5,5,5,3,5,4,5,5,4,4,5,5,5,5,5
2,46,3,4,4,5,4,5,5,4,5,5,3,5,4,4,4,3,4,5,5,5,5,5
2,37,55,5,5,4,4,4,5,5,5,4,5,3,5,5,5,4,5,3,5,5,5,5
2,25,4,5,4,5,5,5,4,4,5,5,5,4,4,5,4,5,5,5,5,5,5,5
2,23,9,5,5,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
1,39,37,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,62,37,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,4
2,26,8,5,5,3,5,5,5,4,3,5,5,5,4,5,4,4,5,5,5,5,5,5
1,51,37,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
2,22,8,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
2,55,55,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
2,29,18,3,3,3,3,3,3,2,4,3,4,3,4,2,3,4,2,3,4,4,3,4
1,21,7,5,4,5,5,4,4,5,4,5,4,4,4,5,4,5,5,5,5,5,5,5
1,51,30,5,5,4,4,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5
2,22,7,4,3,4,4,5,5,4,5,4,3,4,3,4,3,2,5,5,5,5,4,5
1,35,55,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
2,27,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,26,12,5,5,4,3,4,4,3,4,4,3,3,3,3,5,4,3,4,4,5,4,4
1,50,54,5,4,4,5,4,4,5,5,4,5,5,5,5,5,5,4,4,4,5,4,5
1,62,54,1,1,2,2,5,5,4,4,5,5,5,5,5,5,5,3,4,5,5,5,5
1,35,9,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
2,27,30,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,24,52,5,4,5,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5
1,26,52,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,47,30,4,3,3,2,4,3,5,4,4,4,4,4,4,4,5,4,3,5,5,4,4
2,18,6,5,5,5,5,5,5,4,5,3,5,5,5,5,3,3,5,5,5,5,5,5
2,46,10,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
2,25,24,4,5,4,4,5,5,5,4,5,4,5,5,4,5,4,5,4,5,4,4,4
2,30,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,23,5,4,4,2,2,3,2,2,3,4,4,2,4,3,4,4,4,3,5,5,2,5
2,37,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,55,56,4,5,4,4,4,3,4,4,4,5,4,3,3,3,5,2,2,4,5,3,3
2,57,56,,,,,,,,,,,,,,,,,,,,,
2,24,13,5,5,3,3,,,,,,,,,,,,,,,,,
2,31,19,5,5,5,5,5,4,4,5,5,4,4,4,5,4,4,5,5,5,5,5,5
2,29,24,,,,,,,,,,,,,,,,,,,,,
2,27,36,3,3,4,4,4,3,4,4,3,4,3,4,4,3,3,3,2,5,5,2,2
2,24,13,5,5,4,4,4,5,4,4,4,5,4,5,5,5,4,,,,,,
2,23,9,5,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,5,5,5
2,42,56,,,,,,,,,,,,,,,,,,,,,
2,23,1,5,5,4,4,4,4,3,5,4,,,,,,,,,,,,
2,22,5,4,4,3,3,,,,,,,,,,,,,,,,,
1,28,6,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,5,5,5,5,5
2,28,12,4,4,3,3,4,4,3,5,3,5,5,5,5,4,4,3,5,4,5,4,4
1,23,6,5,4,5,5,5,5,5,5,5,4,4,5,5,4,5,5,4,5,5,5,5
2,35,36,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
2,24,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,30,1,4,4,5,5,5,4,4,3,5,2,3,2,3,1,1,4,5,5,5,4,5
1,40,48,5,5,5,5,4,4,5,4,4,4,4,5,5,4,4,4,5,5,5,4,4
2,25,8,5,5,5,5,5,4,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5
2,41,54,4,3,2,2,4,2,4,3,3,4,3,4,3,2,4,2,2,3,4,3,3
2,31,12,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,22,8,2,4,5,1,5,5,5,5,5,3,5,2,4,4,4,5,5,5,5,5,5
2,23,9,3,4,4,4,5,4,4,4,4,4,5,5,5,4,3,3,4,5,5,5,5
2,24,2,5,5,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5
1,43,39,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5
2,38,9,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,,,,,,
2,31,1,5,5,5,5,,,,,,,,,,,,,,,,,
